Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
68,14741441,B11901174,"2025-11-22 08:10:14",0.5797,6,b11901174
69,14654322,r14922A03,"2025-11-21 13:47:58",0.5754,13,hungyulun
70,14650655,b12701220,"2025-11-17 08:56:14",0.5754,9,chiumuen
71,14706790,R14944016,"2025-11-20 17:50:49",0.5754,19,chenyi0504
72,14742191,R13945041,"2025-11-18 13:54:50",0.5754,4,kakakamiko
73,14691635,R13943071,"2025-11-18 08:25:39",0.5754,3,shihshanchi
74,14759786,d13922024,"2025-11-21 14:20:46",0.5754,12,cyma6060
75,14774878,R13944057,"2025-11-21 10:22:37",0.5754,2,jiasui
76,14795599,akinesia112,"2025-11-21 09:38:10",0.5754,3,akinesia112
77,14636552,r13943105,"2025-11-21 14:16:24",0.5754,13,r13943105
78,14788046,b09605011,"2025-11-22 14:46:46",0.5754,4,jljklioio
79,14804544,b09902018,"2025-11-22 15:02:54",0.5754,2,b09902018
80,14789811,D12922035,"2025-11-23 13:34:34",0.5754,3,chujunpengjunior
81,14742478,michael891114,"2025-11-21 10:58:45",0.5737,16,michael891114
82,14725250,R13922190,"2025-11-21 08:07:37",0.5669,10,r13922190
83,14761691,d14922023,"2025-11-22 10:03:50",0.5620,22,d14922023
84,14720860,b13705012,"2025-11-21 15:29:41",0.5618,13,yujuanlin0215
85,14713559,R14944050,"2025-11-21 15:21:08",0.5602,30,r14944050
86,14687181,r129220a9,"2025-11-21 09:03:56",0.5587,21,r129220a9
87,14636446,D13944011,"2025-11-22 01:40:52",0.5546,22,d13944011
88,14685329,R13724037,"2025-11-20 16:23:30",0.5516,15,yihsiangyang
89,14679625,R13943141,"2025-11-21 11:57:22",0.5513,20,hank7171
90,14668557,R14922A11,"2025-11-21 14:44:25",0.5501,10,qwaszxwesdxc12
91,14646891,A14922107,"2025-11-19 04:05:15",0.5488,7,a14922107
92,14668164,B12902115,"2025-11-21 12:29:52",0.5415,15,b12902115
93,14808005,R13942140,"2025-11-21 15:40:29",0.5335,4,r13942140
94,14744471,D14922008,"2025-11-21 16:16:04",0.5315,8,d14922008
95,14653202,r13k41017,"2025-11-22 07:20:34",0.5272,19,r13k41017
96,14692651,r13922142,"2025-11-12 15:10:48",0.5236,9,r13922142
97,14652512,U112582009,"2025-11-21 08:39:10",0.5144,9,cghaocg
98,14732936,R12723057,"2025-11-18 15:26:32",0.5140,10,r12723057
99,14665291,R14943081,"2025-11-21 07:29:54",0.4957,6,shangtinglin
100,14723723,r13922a13yueerhsu,"2025-11-23 15:53:31",0.4957,2,r13922a13yueerhsu
101,14678940,"[Deleted] 42af15bc-b81f-49bc-99d8-79951b243286","2025-11-20 13:31:41",0.4868,2,del=6bed40f34c163ea4
102,14647289,R13922211,"2025-11-21 13:36:48",0.4823,26,r13922211ntu
103,14656286,R14944061,"2025-11-20 20:41:20",0.4723,7,r14944061abulkalam
104,14695880,B11701165,"2025-11-18 12:05:32",0.4397,8,b11701165
105,14730587,R14C42010,"2025-11-19 23:08:31",0.4207,10,r14c42010
106,14779319,B10502086,"2025-11-22 01:39:39",0.3919,2,timothykuo0322
107,14636444,R14942148,"2025-11-05 06:57:41",0.3126,6,r14942148
108,14803224,r13725020,"2025-11-23 14:33:41",0.2718,4,r13725020
109,14797524,t14902204,"2025-11-22 08:56:51",0.0022,1,jidapachong
